year,annual_wage,model
2006,42236.48,Actual
2007,43487.6,Actual
2008,44855.2,Actual
2009,46113.6,Actual
2010,46968.1333333333,Actual
2011,47905.8666666667,Actual
2012,48812.4,Actual
2013,49838.5333333333,Actual
2014,50875.0666666667,Actual
2015,52024.2666666667,Actual
2016,53357.2,Actual
2017,54721.3333333333,Actual
2018,56373.2,Actual
2019,58233.0666666667,Actual
2020,61074.0,Actual
2021,63689.6,Actual
2022,67114.6666666667,Actual
2023,70097.7333333333,Actual
2024,72924.8,Actual
2025,75579.6363636364,Actual
2026,72678.9347113238,"Forecast (Linear)"
2027,74332.7266694008,"Forecast (Linear)"
2028,75986.5186274778,"Forecast (Linear)"
2029,77640.3105855548,"Forecast (Linear)"
2030,79294.1025436318,"Forecast (Linear)"
